content,label,rating
They do an amazing job cleaning my car. I always get a full shampoo and upholstery cleaning from them and the car always looks brand new!,1,1
"Every staff member that helped me (both inside and outside of the place) was incredible nice and helpful and my car came out looking wonderful. I was unfortunately cut in line at the register by a self-important jerk of a customer who proceeded to berate the cashier for not giving him a deal. The poor register girl did a wonderful job of dealing with this jerk and then was able to switch gears and return to business when I got my turn to pay. So, even more kudos to the business and its employees for not letting mean people affect their customer service.",1,1
"Alex, Joshua and the whole staff in the eyewear department are awesome. They are friendly, knowledgeable and got me a super deal on my glasses I would recommend this Walmart to my family and friends.",1,1
"One of my favorite Wal Marts.  Clean, orderly but holy cow they draw some freaky people shopping here.  I've had some memorable experiences dealing with the crazy folks who shop here.  Guess that is why I keep coming back, you never know what kind of experience you'll have.",1,1
This 5 star review is for the Auto Department. We walked in to kill time and decided to get an oil change because our car was due.  I appreciate how the employees gave us an honest estimated wait time.  The oil change was done within the estimated time given and the check out was fast and easy.  Employees friendly!,1,1
"This is all about Elina (I hope I got your name right) at the self service checkouts. She saw that all I had were two large, awkward items and she checked me out herself so I wouldn't have to lift them for scanning. Honestly, I don't come to Walmart for customer service, and I was having a rotten day; so thank you for the pleasant surprise and helping to turn my day around.",1,1
"One of the best Wal-Marts I've been to. It is clean , neat, and well organized. But, no one has ever come up to ask me if I needed help finding anything. Other than that I have no complaints.",1,1
"I drove my friends mom to this pharmacy on 6/22/16 to pick up her medication. When she got there the pharmacy was extremely busy. Something happened with her personal insurance being switched to Medicare which caused her old insurance to cancel making her prescriptions prices hundreds of dollars. She was in shock because the price was so high and she couldn't afford it. A pharmacy technician named Antonio who was extremely busy with a long line of people waiting for their medicine, went out of his way to help my friends mom get her insurance back to her original insurance coverage. He is a very educated pharmacy technician and I hope he becomes a Pharmacist because he would be a great one. Antonio walked us through the process while he was super busy to get the situation figured out. I'm in sales and take pride in excellent customer service because that's what it's all about. Antonio went above and beyond for us and helped us for two hours as my friends mom was on the phone trying to figure everything out. He guided my friends mom and helped get her insurance problem fixed. I just want to say thank you to Antonio in the pharmacy and give that man a raise. He impressed me with his calmness and his patience for people who are clueless on how their insurance actually works. Antonio may you be successful in all your endeavors and thank you for excellent customer care. Cheers my friend!!!",1,1
"Mickies!   To be honest, I haven't been here in ages. I use to come here all the time when I was a student and absolutely loved it. When I was in Madison, this was the shinning beacon of breakfast joints.   During the weekends it would get pretty crowded. So crowded that sometimes the people waiting for tables could hover you. At times, that was a bit uncomfie. Otherwise, everything else was fabulous.   Its retro in looks and amazing in taste. Love the scramblers. I also have fond memories of their pancakes as I got to have them next to Butch Vig.",1,1
"It was Sunday morning (ish) after a long weekend of exploring (drinking) around Madison. The room was full of worn-out (hungover) people, and we were all looking for something to cure us of our ailments before a long drive back to Indy. Mickies was suggested immediately by everyone in the room who knew the area, and we set off for what had been described to me as a must-visit when you are anywhere near Camp Randall.   The first thing you will likely notice when you approach this establishment is the line of people outside waiting for a table. If you aren't someone who can wait for your food, you better get here early. That being said, unless you are seconds away from keeling over due to excessive hunger you are best off just to wait. The tables get turned over quickly so the wait likely isn't as long as you might first suspect.   Once you finally do make it in, you quickly get an idea of what this place is all about. It's not big, but they utilize every ounce of space they have. It looks like your stereotypical greasy spoon diner, with a big bar in the middle surrounded by a bunch of booths and tables that are all a little bit closer that put you a little closer to your neighbor than you would like. The hostess was surprisingly nice and organized for how busy it was that morning, and it appeared this was just business as usual. We were seated in a booth and directed to the large menu up on the wall.   As far as the food goes, this place is the definition of ""you get what you pay for."" It's what they try to do and you can't possibly fault them for not doing it well. It's a lot of your standard breakfast items at prices that can't be beat. They are served greasy spoon style, so your sweet foods are going to slightly resemble a breakfast item that has been turned into an over the top dessert, your savory foods might actually stop your heart after the first few bites, and everything in between is going to come with enough food to feed a small family. You can easily walk in here with $5 and walk out full. Being a weekend of gluttony already, I opted for what they called the ""scrambler"" which was somewhere around $7 and came with a little bit of everything. Basically, it was a bunch of hash browns, covered with a bunch of eggs, stuffed with a bunch of meats, topped with a bunch of cheese, and covered with a bunch of gravy. They serve that with a health portion of toast and call it a meal. It was the perfect meal for me that morning, and I even struggled to finish half of it.   This place is what it is. It's a college place in the shadow of one of the best places to watch a football game anywhere in the country. You aren't going to get any culinary masterpieces or unique creations. The flavors don't taste better than anywhere else, and the guy cooking isn't trying to make any fusion dishes to mess with your taste buds. You will, however, get a ton of food for a small amount of money that will hit the spot when you are looking for some comfort food or a sugar rush. If that sounds like something you enjoy, this place needs to be on top of your list.  P.S. Cash only",1,1
"Great deal. Great service. NEVER go on a homegame day. EVER. No one ever listens to me but I swear that the cornmeal pancakes are some of the best I've ever had. As my boyfriend says, this place serves food that ""sticks to your ribs.""",1,1
"Best greasy spoon in downtown Madison.  As many people have noticed, portions are huge and they only take cash and they can be quite busy.  COnsidering how busy they are, I think service is decently fast.  I like the chili cheese omelettes and the pancakes.  The malts are good but I never order them because I can't imagine how bad my stomach would feel after a scrambler AND a malt!",1,1
"I finally decided to visit this local favorite, and I was lucky enough to be seated right away. During warmer months, expect a long line out the door though!  The place is cash only, but they have an ATM machine. Their menu is simple to navigate, but they have a lot of choices. Some notable items are their french toast (which is made out of cinnamon rolls instead of white bread), scramblers (gigantic mixtures of scrambled eggs, breakfast meat, fried potatoes, cheese, and gravy if you want it), and the cornmeal pancake (think corn bread cooked like a pancake).  I got the chili cheese omelette with ""yanks"" which are their fried potatoes. For $7.50, I got a probably 3 potatoes worth of yanks, and an omelette topped with chili, shredded cheddar, and american cheese sauce with 2 slices of toast. It was a lot of food. I saw a lot of people taking leftover omelettes and scramblers in take out boxes, so I was proud of myself for being able to finish the whole thing.  I should probably talk about the service: It was friendly, fast, and helpful. They were quick to help me decide on what to order, and they were able to explain all their menu items and point out their unique dishes.  Overall, I had a great experience. The food was good and cheap and the atmosphere was loud but homey. While I had a great time, I just can't give Mickies an honest 5 stars because I can't confidently say that this is one of the best diners I've been to food-wise. The food was interesting and pretty good, but I didn't find it to be as refined as some other diners I've been to in the past few years. For example, the french toast made of cinnamon rolls was pretty good, but I found it to be too eggy and dense and not fluffy at all. It was like eating scrambled eggs with cinnamon rolls inside. Still, Mickies is a great place to eat breakfast. If you live in Madison, this should be on your bucket list.",1,1
This place is always filled with people. Go early to avoid having to wait in long line especially on game days. I really recommend their pancakes and milkshakes. The other dishes are very cheese based for example their scrambler are basically eggs and tons of cheese. The food portion here is huge and the price is quite cheap. Service is pretty fast and friendly,1,1
Very old fashioned restaurant and so cute! Very cheap food but very busy atmosphere for Saturday at noon. I got the chocolate chip pancakes which were unlike any pancakes I've had before. I personally didn't like them because they were almost like cake batter. The chocolate malt is definitely the best malt I've had and very filling!y boyfriend got a ham and sausage scrambler and that was so good! The gravy is very good with the potatoes. Definitely will be back to try out more stuff!!!,1,1
"YUM!  This busy little place has an actual bar.   I grabbed a stool at the bar on a Saturday morning and ordered the Scrambler with sausage. YUM!  It's the perfect combination of creamy egg, melting cheese, perfectly cooked potatoes, and yummy sausage.  The place is huge and comes with four half slices of wheat toast.  Best $7 spent.  The Blueberry Coffee Cake was also good at only $2.  The coffee is mediocre at $1.50.",1,1
Such a cute little diner! The menu was on the wall which was really fun. Service was quick and friendly. We would come again.,1,1
We were in WIsconsin for a wedding last week and only had one day to spend in Madison. Our very first stop? Mickie's! It's always packed in the mornings with hung over college kids and hot as all get out during the summer. The service is pretty slow and it's usually so noisy you can barely hear yourself think but it's awesome! We had to go in and get a sausage scrambler. The size of the thing is massive and seeing it  helped me understand why I put on so much weight in college :)   This place is just a Madison landmark and I look forward to many more scramblers in visits to come.,1,1
